,Season,Team,W,L,SV,G,GS,IP,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
143,2008.0,Angels,100.0,62.0,66.0,545.0,162.0,1451.1,1106.0,6.86,2.83,0.99,0.296,0.73,0.44299999999999995,0.098,4.0,4.12,4.17,17.7
144,2016.0,Red Sox,93.0,69.0,43.0,625.0,162.0,1439.2,1362.0,8.51,3.06,1.1,0.293,0.7290000000000001,0.415,0.114,4.0,4.0,4.2,18.6
145,2014.0,Blue Jays,83.0,79.0,45.0,611.0,162.0,1443.0,1199.0,7.48,3.06,0.94,0.294,0.727,0.429,0.094,4.0,3.97,3.99,11.6
146,2018.0,Pirates,82.0,79.0,40.0,641.0,161.0,1434.0,1336.0,8.38,3.12,1.09,0.296,0.736,0.434,0.121,4.0,4.06,4.14,13.6
147,2014.0,Red Sox,71.0,91.0,36.0,655.0,162.0,1465.2,1213.0,7.45,2.96,0.95,0.301,0.718,0.436,0.099,4.01,3.93,3.87,12.1
148,2014.0,Tigers,90.0,72.0,41.0,635.0,162.0,1454.0,1244.0,7.7,2.86,0.79,0.312,0.7070000000000001,0.442,0.083,4.01,3.6,3.76,18.0
149,2008.0,Red Sox,95.0,67.0,47.0,628.0,162.0,1446.1,1185.0,7.37,3.41,0.91,0.289,0.726,0.435,0.092,4.01,4.09,4.23,17.5
150,2008.0,Athletics,75.0,86.0,33.0,602.0,161.0,1435.0,1061.0,6.65,3.61,0.85,0.287,0.722,0.41200000000000003,0.08,4.01,4.19,4.53,14.7
151,2010.0,Dodgers,80.0,82.0,41.0,637.0,162.0,1441.2,1274.0,7.95,3.36,0.84,0.287,0.7090000000000001,0.446,0.086,4.01,3.76,3.87,17.1
152,2012.0,Padres,76.0,86.0,43.0,691.0,162.0,1434.2,1205.0,7.56,3.38,1.02,0.284,0.718,0.475,0.11699999999999999,4.01,4.11,4.05,8.0
153,2017.0,Cardinals,83.0,79.0,43.0,708.0,162.0,1450.1,1351.0,8.38,3.06,1.14,0.298,0.736,0.46299999999999997,0.135,4.01,4.09,4.12,16.8
154,2012.0,Angels,89.0,73.0,38.0,606.0,162.0,1433.1,1157.0,7.26,3.03,1.17,0.277,0.726,0.439,0.121,4.02,4.26,4.15,8.9
155,2012.0,Rangers,93.0,69.0,43.0,590.0,162.0,1442.0,1286.0,8.03,2.78,1.09,0.292,0.715,0.439,0.11599999999999999,4.02,3.9,3.86,20.7
156,2010.0,Reds,91.0,71.0,43.0,664.0,162.0,1453.0,1130.0,7.0,3.25,0.98,0.288,0.736,0.429,0.094,4.02,4.12,4.13,14.5
157,2012.0,White Sox,85.0,77.0,37.0,628.0,162.0,1445.2,1246.0,7.76,3.13,1.16,0.288,0.752,0.42700000000000005,0.121,4.02,4.23,4.12,16.5
158,2015.0,Yankees,87.0,75.0,48.0,659.0,162.0,1457.2,1370.0,8.46,2.93,1.12,0.3,0.738,0.47,0.136,4.03,3.97,3.7,18.3
159,2015.0,Marlins,71.0,91.0,35.0,648.0,162.0,1427.0,1152.0,7.27,3.2,0.89,0.294,0.723,0.445,0.095,4.04,3.98,4.23,10.4
160,2018.0,Nationals,82.0,80.0,40.0,724.0,162.0,1446.0,1417.0,8.82,3.03,1.23,0.287,0.748,0.41200000000000003,0.128,4.04,4.15,4.13,14.6
161,2010.0,Angels,80.0,82.0,39.0,572.0,162.0,1449.1,1130.0,7.02,3.51,0.92,0.292,0.7290000000000001,0.426,0.085,4.04,4.11,4.24,13.5
162,2011.0,Tigers,95.0,67.0,52.0,583.0,162.0,1440.0,1115.0,6.97,3.08,0.93,0.292,0.7120000000000001,0.445,0.09300000000000001,4.04,3.96,4.0,16.0
163,2011.0,Pirates,72.0,90.0,43.0,711.0,162.0,1449.1,1031.0,6.4,3.32,0.94,0.3,0.737,0.456,0.098,4.05,4.2,4.18,5.8
164,2015.0,Diamondbacks,79.0,83.0,44.0,712.0,162.0,1466.2,1215.0,7.46,3.07,1.12,0.294,0.737,0.457,0.12300000000000001,4.05,4.21,4.09,9.0
165,2016.0,Marlins,79.0,82.0,55.0,720.0,161.0,1435.0,1379.0,8.65,3.73,0.95,0.303,0.74,0.43,0.109,4.05,3.97,4.21,14.6
166,2015.0,Orioles,81.0,81.0,43.0,615.0,162.0,1434.2,1233.0,7.73,3.03,1.09,0.298,0.736,0.452,0.12,4.05,4.11,4.04,15.5
167,2010.0,Yankees,95.0,67.0,39.0,592.0,162.0,1442.1,1154.0,7.2,3.37,1.12,0.281,0.74,0.439,0.107,4.06,4.34,4.15,14.6
168,2016.0,Astros,84.0,78.0,44.0,662.0,162.0,1468.0,1396.0,8.56,2.78,1.11,0.306,0.7340000000000001,0.452,0.126,4.06,3.85,3.87,19.5
169,2015.0,Twins,83.0,79.0,45.0,682.0,162.0,1443.0,1046.0,6.52,2.58,1.02,0.3,0.728,0.44,0.10400000000000001,4.07,4.1,4.23,14.5
170,2018.0,Mets,77.0,85.0,41.0,663.0,162.0,1460.2,1446.0,8.91,2.98,1.14,0.295,0.73,0.42100000000000004,0.122,4.07,3.97,4.03,16.9
