,Home Team,Away Team,Home Team Score,Away Team Score
320,New York Yankees,Boston Red Sox,14,5
321,Arizona D'Backs,Chicago Cubs,5,2
322,Kansas City Royals,Cleveland Indians,1,5
323,Chicago White Sox,Detroit Tigers,4,7
324,Oakland Athletics,Houston Astros,10,1
325,Philadelphia Phillies,Los Angeles Dodgers,7,3
326,St. Louis Cardinals,New York Mets,1,4
327,Cincinnati Reds,Pittsburgh Pirates,2,1
328,Minnesota Twins,Tampa Bay Rays,9,7
329,Baltimore Orioles,Toronto Blue Jays,11,4
330,San Diego Padres,Washington Nationals,4,3
331,Philadelphia Phillies,Arizona D'Backs,4,5
332,Cincinnati Reds,Atlanta Braves,4,5
333,Kansas City Royals,Baltimore Orioles,5,0
334,Tampa Bay Rays,Chicago White Sox,6,9
335,Oakland Athletics,Houston Astros,12,5
336,Colorado Rockies,Los Angeles Dodgers,5,4
337,Chicago Cubs,Milwaukee Brewers,2,5
338,Detroit Tigers,Minnesota Twins,10,6
339,LA Angels of Anaheim,New York Yankees,13,1
340,Miami Marlins,New York Mets,3,4
341,Texas Rangers,Seattle Mariners,5,6
342,Cleveland Indians,San Francisco Giants,1,5
343,Pittsburgh Pirates,St. Louis Cardinals,0,1
344,Boston Red Sox,Toronto Blue Jays,8,1
345,San Diego Padres,Washington Nationals,1,11
346,Philadelphia Phillies,Arizona D'Backs,6,5
347,Cincinnati Reds,Atlanta Braves,1,4
348,Kansas City Royals,Baltimore Orioles,2,3
349,Tampa Bay Rays,Chicago White Sox,4,0
350,Oakland Athletics,Houston Astros,6,7
351,Colorado Rockies,Los Angeles Dodgers,3,6
352,Chicago Cubs,Milwaukee Brewers,3,5
353,Detroit Tigers,Minnesota Twins,3,5
354,LA Angels of Anaheim,New York Yankees,3,4
355,Miami Marlins,New York Mets,7,6
356,Texas Rangers,Seattle Mariners,6,3
357,Cleveland Indians,San Francisco Giants,3,5
358,Pittsburgh Pirates,St. Louis Cardinals,6,1
359,Boston Red Sox,Toronto Blue Jays,7,6
360,San Diego Padres,Washington Nationals,0,4
361,Philadelphia Phillies,Arizona D'Backs,2,0
362,Cincinnati Reds,Atlanta Braves,0,1
363,Kansas City Royals,Baltimore Orioles,9,3
364,Tampa Bay Rays,Chicago White Sox,2,9
365,Oakland Athletics,Houston Astros,1,5
366,Colorado Rockies,Los Angeles Dodgers,6,1
367,Chicago Cubs,Milwaukee Brewers,4,0
368,LA Angels of Anaheim,New York Yankees,2,3
369,Miami Marlins,New York Mets,0,4
370,Texas Rangers,Seattle Mariners,5,6
371,Cleveland Indians,San Francisco Giants,1,4
372,Pittsburgh Pirates,St. Louis Cardinals,0,7
373,Boston Red Sox,Toronto Blue Jays,1,7
374,San Diego Padres,Washington Nationals,4,2
375,Cleveland Indians,LA Angels of Anaheim,3,6
376,Colorado Rockies,Arizona D'Backs,8,5
377,Tampa Bay Rays,Chicago White Sox,3,7
378,San Diego Padres,San Francisco Giants,6,4
379,Milwaukee Brewers,St. Louis Cardinals,5,3
380,Oakland Athletics,Texas Rangers,4,0
381,Cleveland Indians,LA Angels of Anaheim,4,6
382,Colorado Rockies,Arizona D'Backs,5,4
383,Tampa Bay Rays,Boston Red Sox,4,7
384,Detroit Tigers,Chicago White Sox,4,3
385,Chicago Cubs,Cincinnati Reds,2,3
386,Washington Nationals,Houston Astros,4,3
387,Toronto Blue Jays,Kansas City Royals,7,10
388,Atlanta Braves,Miami Marlins,0,9
389,Seattle Mariners,New York Yankees,6,3
390,New York Mets,Philadelphia Phillies,6,1
391,San Diego Padres,San Francisco Giants,0,6
392,Milwaukee Brewers,St. Louis Cardinals,5,4
393,Oakland Athletics,Texas Rangers,9,3
394,Cleveland Indians,LA Angels of Anaheim,1,7
395,Colorado Rockies,Arizona D'Backs,4,5
396,Detroit Tigers,Chicago White Sox,5,1
397,Chicago Cubs,Cincinnati Reds,9,4
398,Washington Nationals,Houston Astros,7,0
399,Toronto Blue Jays,Kansas City Royals,2,4
400,Atlanta Braves,Miami Marlins,3,9
401,Los Angeles Dodgers,Minnesota Twins,6,4
402,San Diego Padres,San Francisco Giants,2,3
403,Milwaukee Brewers,St. Louis Cardinals,3,9
404,Oakland Athletics,Texas Rangers,12,1
405,Pittsburgh Pirates,Baltimore Orioles,1,5
406,Pittsburgh Pirates,Baltimore Orioles,5,6
407,Tampa Bay Rays,Boston Red Sox,2,1
408,Tampa Bay Rays,Boston Red Sox,6,5
409,Milwaukee Brewers,Cincinnati Reds,3,8
410,New York Mets,Colorado Rockies,4,7
411,Toronto Blue Jays,Kansas City Royals,7,3
412,Atlanta Braves,Miami Marlins,4,5
413,Los Angeles Dodgers,Minnesota Twins,9,4
414,Los Angeles Dodgers,Minnesota Twins,4,3
415,Seattle Mariners,New York Yankees,4,2
416,Texas Rangers,LA Angels of Anaheim,5,2
417,San Francisco Giants,Atlanta Braves,2,1
418,Oakland Athletics,Boston Red Sox,1,7
419,St. Louis Cardinals,Chicago Cubs,5,6
420,Milwaukee Brewers,Cincinnati Reds,2,0
421,Chicago White Sox,Cleveland Indians,5,12
422,New York Mets,Colorado Rockies,3,10
423,Seattle Mariners,Houston Astros,4,5
424,Detroit Tigers,Kansas City Royals,8,2
425,Los Angeles Dodgers,Miami Marlins,3,6
426,Baltimore Orioles,Minnesota Twins,3,0
427,Tampa Bay Rays,New York Yankees,10,5
428,Washington Nationals,Philadelphia Phillies,5,3
429,Toronto Blue Jays,Pittsburgh Pirates,5,6
430,Arizona D'Backs,San Diego Padres,2,0
431,Texas Rangers,LA Angels of Anaheim,3,5
432,San Francisco Giants,Atlanta Braves,3,1
433,Oakland Athletics,Boston Red Sox,3,6
434,St. Louis Cardinals,Chicago Cubs,0,3
435,Milwaukee Brewers,Cincinnati Reds,2,6
436,Chicago White Sox,Cleveland Indians,0,2
437,New York Mets,Colorado Rockies,10,11
438,Seattle Mariners,Houston Astros,9,8
439,Detroit Tigers,Kansas City Royals,9,2
440,Los Angeles Dodgers,Miami Marlins,9,7
441,Baltimore Orioles,Minnesota Twins,1,6
442,Tampa Bay Rays,New York Yankees,3,9
443,Washington Nationals,Philadelphia Phillies,2,7
444,Toronto Blue Jays,Pittsburgh Pirates,6,8
445,Arizona D'Backs,San Diego Padres,4,3
446,Texas Rangers,LA Angels of Anaheim,14,3
447,San Francisco Giants,Atlanta Braves,4,1
448,Oakland Athletics,Boston Red Sox,3,2
449,St. Louis Cardinals,Chicago Cubs,5,4
450,Milwaukee Brewers,Cincinnati Reds,3,4
451,Chicago White Sox,Cleveland Indians,4,3
452,New York Mets,Colorado Rockies,5,1
453,Seattle Mariners,Houston Astros,8,7
454,Detroit Tigers,Kansas City Royals,9,4
455,Los Angeles Dodgers,Miami Marlins,4,5
456,Baltimore Orioles,Minnesota Twins,2,5
457,Tampa Bay Rays,New York Yankees,5,1
458,Washington Nationals,Philadelphia Phillies,0,1
459,Toronto Blue Jays,Pittsburgh Pirates,7,2
460,Arizona D'Backs,San Diego Padres,3,4
461,New York Yankees,LA Angels of Anaheim,1,4
462,St. Louis Cardinals,Atlanta Braves,4,3
463,Chicago White Sox,Chicago Cubs,3,1
464,Minnesota Twins,Cleveland Indians,1,0
465,Texas Rangers,Colorado Rockies,2,8
466,Houston Astros,Detroit Tigers,0,2
467,New York Mets,Miami Marlins,3,4
468,Arizona D'Backs,Milwaukee Brewers,3,8
469,Seattle Mariners,Oakland Athletics,4,2
470,Toronto Blue Jays,Philadelphia Phillies,3,0
471,San Francisco Giants,Pittsburgh Pirates,11,10
